,name,rating,company_type,old,services,review,locations
0,TCS,3.8,Public,55 years old,IT Services & Consulting,68.5k,Mumbai +314 more
1,Accenture,4.0,Public,34 years old,IT Services & Consulting,43.4k,Dublin +156 more
2,Cognizant,3.9,Forbes Global 2000,29 years old,IT Services & Consulting,39k,Teaneck. New Jersey. +132 more
3,Wipro,3.8,Public,78 years old,IT Services & Consulting,36.1k,Bangalore/Bengaluru +261 more
4,ICICI Bank,4.0,Public,29 years old,Banking,31.4k,Mumbai +1231 more
5,HDFC Bank,3.9,Public,29 years old,Banking,31.2k,Mumbai +1469 more
6,Infosys,3.9,Public,42 years old,IT Services & Consulting,29.7k,Bengaluru/Bangalore +153 more
7,Capgemini,3.8,Public,56 years old,IT Services & Consulting,27.6k,Paris +106 more
8,Tech Mahindra,3.7,Public,37 years old,IT Services & Consulting,25.8k,Pune +247 more
9,HCLTech,3.7,Public,32 years old,IT Services & Consulting,25.3k,Noida +162 more
10,Genpact,3.9,Public,26 years old,IT Services & Consulting,24.7k,New York +93 more
11,Axis Bank,3.8,Public,30 years old,Banking,20.6k,Mumbai +1250 more
12,Concentrix Corporation,3.9,Public,40 years old,BPO,20.4k,Fremont +100 more
13,Amazon,4.1,Public,29 years old,Internet,19.6k,Seattle +413 more
14,Reliance Jio,3.9,Public,16 years old,Telecom,18.8k,Navi Mumbai +1112 more
15,IBM,4.1,Public,112 years old,Software Product,18.8k,Armonk +140 more
16,Larsen & Toubro Limited,4.0,Public,85 years old,Engineering & Construction,17.5k,Mumbai +604 more
17,Reliance Retail,3.9,,,,17.1k,
18,HDB Financial Services,4.0,,,,16.5k,
19,Teleperformance,3.6,Forbes Global 2000,45 years old,BPO,16.2k,Paris +144 more
20,Vodafone Idea,4.2,,,,14.7k,
21,BYJU'S,3.1,Indian Unicorn,12 years old,EdTech,13.7k,Bangalore +297 more
22,Deloitte,4.0,,,,13.6k,
23,Kotak Mahindra Bank,3.8,Public,20 years old,Banking,13.2k,Mumbai +538 more
24,Reliance Industries,4.0,,,,12.4k,
25,Bharti Airtel,4.0,Public,28 years old,Telecom,11.4k,Gurgaon/Gurugram +623 more
26,Tata Motors,4.2,Public,78 years old,Automobile,10.5k,Pune +436 more
27,iEnergizer,4.5,,,,9.7k,
28,Flipkart,4.1,Public,16 years old,Internet,9.2k,Bangalore +512 more
29,WNS,3.5,,,,9.1k,
30,IndusInd Bank,3.7,Public,29 years old,Banking,8.5k,Gurgaon/Gurugram +648 more
31,Mahindra & Mahindra,4.1,Public,78 years old,Automobile,8.4k,Mumbai +464 more
32,Ernst & Young,3.6,,,,8.3k,
33,AU Small Finance Bank,4.5,Fortune India 500,27 years old,Banking,8k,Jaipur +392 more
34,Infosys BPM,3.9,,,,7.8k,
35,DXC Technology,3.8,Public,6 years old,IT Services & Consulting,7.8k,Minato +66 more
36,IDFC FIRST Bank,4.0,Public,5 years old,Banking,7.4k,Mumbai +523 more
37,Conneqt Business Solutions,3.7,,,,7.2k,
38,HDFC Life,4.0,Public,23 years old,Insurance,7.1k,Mumbai +519 more
39,LTIMindtree,3.7,Public,24 years old,IT Services & Consulting,7k,Bangalore/Bengaluru +45 more
40,Bajaj Finserv,4.0,Public,16 years old,Insurance,6.7k,Pune +819 more
41,HSBC Group,4.1,Forbes Global 2000,21 years old,Banking,6.5k,Pune +56 more
42,Samsung,4.1,Public,85 years old,Consumer Electronics & Appliances,6.5k,Seoul +489 more
43,Hinduja Global Solutions,3.9,Public,23 years old,Software Product,6.5k,Bangalore/Bengaluru +89 more
44,Mphasis,3.5,Public,25 years old,IT Services & Consulting,6.5k,Bangalore/Bengaluru +43 more
45,PwC,3.6,Conglomerate,143 years old,Management Consulting,6.5k,London +84 more
46,Startek,3.2,Public,6 years old,BPO,6.4k,Mumbai +65 more
47,Ericsson,4.3,,,,6.3k,
48,Maruti Suzuki,4.2,Public,42 years old,Automobile,6.2k,New Delhi +345 more
49,Yes Bank,3.9,Public,19 years old,Banking,5.9k,Mumbai +423 more
50,Asian Paints,4.1,Public,81 years old,Chemicals,5.9k,Mumbai +389 more
51,Cipla Pharmaceutical,4.1,Public,88 years old,Pharma,5.8k,Mumbai +220 more
52,Dr. Reddy's,4.1,Public,39 years old,Pharma,5.7k,Hyderabad/Secunderabad +153 more
53,Sutherland Global Services,3.7,,,,5.7k,
54,UltraTech Cement,4.2,Public,40 years old,Building Material,5.5k,Mumbai +415 more
55,NTT DATA,4.0,,,,5.5k,
56,EXL Service,3.8,,,,5.4k,
57,ICICI Prudential Life Insurance,4.1,Public,23 years old,Insurance,5.3k,Mumbai +434 more
58,Bandhan Bank,3.8,Public,22 years old,Banking,5.3k,Kolkata +703 more
59,Paytm,3.4,Public,13 years old,FinTech,5.3k,Noida +290 more
60,Jana Small Finance Bank,3.8,Public,17 years old,Banking,5.3k,Bangalore/Bengaluru +334 more
61,HCL Group,3.7,,,,5.2k,
62,Lupin,4.1,Public,55 years old,Pharma,5.2k,Mumbai +159 more
63,Indian Army,4.7,Public,128 years old,Defence & Aerospace,5.1k,New Delhi +311 more
64,Bajaj Finance,4.0,,,,5.1k,
65,TATA Steel,4.1,Public,116 years old,Iron & Steel,5k,Mumbai +156 more
66,Udaan,4.0,Indian Unicorn,7 years old,Internet,5k,Bangalore +330 more
67,L&T Infotech,3.8,Public,27 years old,IT Services & Consulting,5k,Mumbai +74 more
68,ITC,3.9,Public,48 years old,FMCG,4.9k,Kolkata +285 more
69,Zydus Lifesciences,4.1,Public,71 years old,Pharma,4.9k,Ahmedabad +141 more
70,Wells Fargo,4.1,Public,171 years old,Banking,4.8k,San Francisco +20 more
71,JP Morgan Chase,4.2,Forbes Global 2000,23 years old,Financial Services,4.7k,New York +31 more
72,Delhivery,4.0,,,,4.7k,
73,FIS,3.9,,,,4.7k,
74,Quess,4.0,Public,16 years old,Recruitment,4.6k,Bangalore +477 more
75,Hindustan Unilever,4.2,Public,151 years old,FMCG,4.6k,London +403 more
76,Amazon Development Centre India,4.2,,,,4.6k,
77,IIFL Finance,3.9,Public,28 years old,NBFC,4.6k,Mumbai +631 more
78,Hexaware Technologies,3.7,Fortune India 500,33 years old,IT Services & Consulting,4.4k,Mumbai +39 more
79,Sun Pharmaceutical Industries,4.1,Public,40 years old,Pharma,4.3k,Mumbai +185 more
