,id,original_title,popularity,vote_average,vote_count
0,238,The Godfather,145.178,8.708,18976
1,278,The Shawshank Redemption,108.301,8.705,24965
2,240,The Godfather Part II,97.318,8.589,11458
3,424,Schindler's List,79.134,8.571,14806
4,19404,दिलवाले दुल्हनिया ले जायेंगे,48.489,8.547,4278
5,389,12 Angry Men,57.407,8.546,7801
6,129,千と千尋の神隠し,101.226,8.541,15118
7,496243,기생충,96.464,8.515,16671
8,155,The Dark Knight,109.277,8.513,30942
9,497,The Green Mile,83.761,8.509,16151
10,372058,君の名は。,104.496,8.507,10507
11,680,Pulp Fiction,87.032,8.489,26174
12,13,Forrest Gump,119.259,8.476,25682
13,122,The Lord of the Rings: The Return of the King,110.1,8.475,22593
14,429,"Il buono, il brutto, il cattivo",71.89,8.47,7889
15,769,GoodFellas,82.668,8.466,11901
16,12477,火垂るの墓,0.6,8.454,4954
17,637,La vita è bella,46.058,8.454,12358
18,346,七人の侍,49.401,8.453,3295
19,11216,Nuovo Cinema Paradiso,36.415,8.448,4013
20,667257,Cosas imposibles,15.0,8.442,360
21,696374,Gabriel's Inferno,14.017,8.441,2371
22,550,Fight Club,99.698,8.44,27541
23,539,Psycho,44.103,8.435,9408
24,568332,Taylor Swift: Reputation Stadium Tour,26.949,8.434,309
25,598,Cidade de Deus,46.701,8.433,6786
26,311,Once Upon a Time in America,47.365,8.429,4937
27,724089,Gabriel's Inferno: Part II,11.082,8.425,1486
28,372754,同級生,16.454,8.422,328
29,510,One Flew Over the Cuckoo's Nest,46.961,8.421,9759
30,157336,Interstellar,149.511,8.42,32953
31,620249,罗小黑战记,25.168,8.41,310
32,761053,Gabriel's Inferno: Part III,24.353,8.406,1028
33,569094,Spider-Man: Across the Spider-Verse,363.171,8.406,4954
34,324857,Spider-Man: Into the Spider-Verse,104.086,8.405,14246
35,14537,切腹,23.939,8.405,860
36,4935,ハウルの動く城,96.432,8.405,8875
37,120,The Lord of the Rings: The Fellowship of the Ring,114.751,8.405,23562
38,40096,O Auto da Compadecida,12.733,8.4,1025
39,378064,映画 聲の形,56.254,8.397,3617
40,1891,The Empire Strikes Back,43.567,8.391,15919
41,255709,소원,28.822,8.389,597
42,121,The Lord of the Rings: The Two Towers,125.16,8.387,20483
43,423,The Pianist,34.783,8.384,8473
44,244786,Whiplash,68.425,8.383,14056
45,995133,"The Boy, the Mole, the Fox and the Horse",25.178,8.377,418
46,807,Se7en,70.321,8.37,19645
47,27205,Inception,144.175,8.365,34781
48,92321,蛍火の杜へ,0.6,8.365,1005
49,567,Rear Window,33.431,8.359,5982
50,820067,映画 五等分の花嫁,43.458,8.356,336
51,73,American History X,40.535,8.35,10848
52,274,The Silence of the Lambs,13.902,8.343,15223
53,652837,ジョゼと虎と魚たち,36.312,8.328,379
54,128,もののけ姫,50.051,8.337,7334
55,914,The Great Dictator,35.305,8.333,3082
56,18491,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,35.803,8.333,1407
57,599,Sunset Boulevard,26.793,8.332,2360
58,3782,生きる,18.372,8.33,994
59,644479,Dedicada A Mi Ex,10.269,8.32,487
60,533514,劇場版 ヴァイオレット・エヴァーガーデン,32.424,8.319,357
61,12493,天国と地獄,19.82,8.319,767
62,101,Léon: The Professional,54.451,8.314,13818
63,207,Dead Poets Society,42.822,8.313,10435
64,105,Back to the Future,66.754,8.313,18662
65,901,City Lights,20.242,8.308,1984
66,29259,Le Trou,20.889,8.304,415
67,25237,Иди и смотри,41.09,8.3,1242
68,3082,Modern Times,28.553,8.295,3439
69,447362,Life in a Year,50.906,8.294,1577
70,10494,PERFECT BLUE,39.53,8.289,2222
71,335,C'era una volta il West,46.485,8.288,3976
72,630566,Clouds,22.165,8.286,963
73,283566,シン・エヴァンゲリオン劇場版:||,31.914,8.3,707
74,28,Apocalypse Now,52.811,8.3,7597
75,527641,Five Feet Apart,46.8,8.283,5295
76,975,Paths of Glory,26.275,8.28,2622
77,77338,Intouchables,66.53,8.279,16267
78,632632,映画 ギヴン,17.624,8.3,364
79,637920,7. Koğuştaki Mucize,36.826,8.276,4242
80,16672,砂の女,26.258,8.276,366
81,670,올드보이,53.119,8.272,7913
82,10376,La leggenda del pianista sull'oceano,23.188,8.266,2110
83,20334,The Shop Around the Corner,17.528,8.263,640
84,315162,Puss in Boots: The Last Wish,232.43,8.261,6633
85,1585,It's a Wonderful Life,55.631,8.262,3902
86,618344,Justice League Dark: Apokolips War,25.306,8.26,1369
87,299534,Avengers: Endgame,150.53,8.261,24088
88,42269,C'eravamo tanto amati,10.007,8.265,487
89,635302,劇場版「鬼滅の刃」無限列車編,75.546,8.257,3488
90,8587,The Lion King,111.194,8.255,17174
91,299536,Avengers: Infinity War,229.122,8.252,27982
92,504253,君の膵臓をたべたい,41.663,8.247,1366
93,361743,Top Gun: Maverick,140.797,8.248,7767
94,851644,20세기 소녀,84.61,8.2,532
95,265177,Mommy,18.971,8.2,2558
96,490132,Green Book,61.731,8.244,10674
97,508965,Klaus,37.625,8.244,3590
98,572154,青春ブタ野郎はゆめみる少女の夢を見ない,25.148,8.2,478
99,290098,아가씨,52.921,8.2,3363
100,626332,Flamin' Hot,63.682,8.236,432
101,441130,Wolfwalkers,29.201,8.235,1046
102,110420,おおかみこどもの雨と雪,36.957,8.235,2113
103,24188,Il sorpasso,14.571,8.23,649
104,537061,Steven Universe: The Movie,23.869,8.226,784
105,568300,러브 유어셀프 인 서울,16.783,8.227,425
106,284,The Apartment,38.736,8.226,2059
107,797,Persona,30.388,8.218,1951
108,694,The Shining,51.048,8.219,16389
109,476292,さよならの朝に約束の花をかざろう,30.251,8.2,561
110,354912,Coco,170.468,8.217,18189
111,37257,Witness for the Prosecution,27.7,8.219,1237
112,16869,Inglourious Basterds,65.741,8.216,20970
113,556574,Hamilton,19.262,8.213,1244
114,185,A Clockwork Orange,47.893,8.212,12072
115,5156,Ladri di biciclette,22.519,8.212,2173
116,857,Saving Private Ryan,81.187,8.211,14814
117,98,Gladiator,79.73,8.21,17174
118,603,The Matrix,92.393,8.209,24099
119,610892,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,28.178,8.208,324
120,1124,The Prestige,70.395,8.205,14869
121,11,Star Wars,108.359,8.2,19331
122,50014,The Help,81.54,8.202,7620
